full_name,short_name1,short_name2,abbr,level
U.S. Court of Appeals for the First Circuit,First Circuit,First Circuit,CA1,USCA
U.S. Court of Appeals for the Tenth Circuit,Tenth Circuit,Tenth Circuit,CA10,USCA
U.S. Court of Appeals for the Eleventh Circuit,Eleventh Circuit,Eleventh Circuit,CA11,USCA
U.S. Court of Appeals for the Second Circuit,Second Circuit,Second Circuit,CA2,USCA
U.S. Court of Appeals for the Third Circuit,Third Circuit,Third Circuit,CA3,USCA
U.S. Court of Appeals for the Fourth Circuit,Fourth Circuit,Fourth Circuit,CA4,USCA
U.S. Court of Appeals for the Fifth Circuit,Fifth Circuit,Fifth Circuit,CA5,USCA
U.S. Court of Appeals for the Sixth Circuit,Sixth Circuit,Sixth Circuit,CA6,USCA
U.S. Court of Appeals for the Seventh Circuit,Seventh Circuit,Seventh Circuit,CA7,USCA
U.S. Court of Appeals for the Eighth Circuit,Eighth Circuit,Eighth Circuit,CA8,USCA
U.S. Court of Appeals for the Ninth Circuit,Ninth Circuit,Ninth Circuit,CA9,USCA
U.S. Court of Appeals for the District of Columbia Circuit,District of Columbia Circuit,District of Columbia Circuit,CADC,USCA
U.S. Court of Appeals for the Federal Circuit,Federal Circuit,Federal Circuit,CAFC,USCA
U.S. District Court for the District of Alaska,District of Alaska,Alaska,AKD,USDC
U.S. District Court for the Middle District of Alabama,Middle District of Alabama,Middle Alabama,ALMD,USDC
U.S. District Court for the Northern District of Alabama,Northern District of Alabama,Northern Alabama,ALND,USDC
U.S. District Court for the Southern District of Alabama,Southern District of Alabama,Southern Alabama,ALSD,USDC
U.S. District Court for the Eastern District of Arkansas,Eastern District of Arkansas,Eastern Arkansas,ARED,USDC
U.S. District Court for the Western District of Arkansas,Western District of Arkansas,Western Arkansas,ARWD,USDC
U.S. District Court for the District of Arizona,District of Arizona,Arizona,AZD,USDC
U.S. District Court for the Central District of California,Central District of California,Central California,CACD,USDC
U.S. District Court for the Eastern District of California,Eastern District of California,Eastern California,CAED,USDC
U.S. District Court for the Northern District of California,Northern District of California,Northern California,CAND,USDC
U.S. District Court for the Southern District of California,Southern District of California,Southern California,CASD,USDC
U.S. Court of International Trade,Court of International Trade,International Trade,CIT,USDC
U.S. District Court for the District of Colorado,District of Colorado,Colorado,COD,USDC
U.S. District Court for the District of Connecticut,District of Connecticut,Connecticut,CTD,USDC
U.S. District Court for the District of Columbia,District Court for the District of Columbia,District of Columbia,DCD,USDC
U.S. District Court for the District of Columbia,District Judge for the District of Columbia,District of Columbia,DCD,USDC
U.S. District Court for the District of the Northern Mariana Islands,District of the Northern Mariana Islands,Northern Mariana Islands,NMID,USTC
U.S. District Court for the District of Guam,District of Guam,Guam,GUD,USTC
U.S. District Court for the District of the Virgin Islands,District of the Virgin Islands,Virgin Islands,VID,USTC
U.S. District Court for the District of Delaware,District of Delaware,Delaware,DED,USDC
U.S. District Court for the Middle District of Florida,Middle District of Florida,Middle Florida,FLMD,USDC
U.S. District Court for the Northern District of Florida,Northern District of Florida,Northern Florida,FLND,USDC
U.S. District Court for the Southern District of Florida,Southern District of Florida,Southern Florida,FLSD,USDC
U.S. District Court for the Middle District of Georgia,Middle District of Georgia,Middle Georgia,GAMD,USDC
U.S. District Court for the Northern District of Georgia,Northern District of Georgia,Northern Georgia,GAND,USDC
U.S. District Court for the Southern District of Georgia,Southern District of Georgia,Southern Georgia,GASD,USDC
U.S. District Court for the District of Hawaii,District of Hawaii,Hawaii,HID,USDC
U.S. District Court for the Northern District of Iowa,Northern District of Iowa,Northern Iowa,IAND,USDC
U.S. District Court for the Southern District of Iowa,Southern District of Iowa,Southern Iowa,IASD,USDC
U.S. District Court for the District of Idaho,District of Idaho,Idaho,IDD,USDC
U.S. District Court for the Central District of Illinois,Central District of Illinois,Central Illinois,ILCD,USDC
U.S. District Court for the Northern District of Illinois,Northern District of Illinois,Northern Illinois,ILND,USDC
U.S. District Court for the Southern District of Illinois,Southern District of Illinois,Southern Illinois,ILSD,USDC
U.S. District Court for the Northern District of Indiana,Northern District of Indiana,Northern Indiana,INND,USDC
U.S. District Court for the Southern District of Indiana,Southern District of Indiana,Southern Indiana,INSD,USDC
U.S. District Court for the District of Kansas,District of Kansas,Kansas,KSD,USDC
U.S. District Court for the Eastern District of Kentucky,Eastern District of Kentucky,Eastern Kentucky,KYED,USDC
U.S. District Court for the Western District of Kentucky,Western District of Kentucky,Western Kentucky,KYWD,USDC
U.S. District Court for the Eastern District of Louisiana,Eastern District of Louisiana,Eastern Louisiana,LAED,USDC
U.S. District Court for the Middle District of Louisiana,Middle District of Louisiana,Middle Louisiana,LAMD,USDC
U.S. District Court for the Western District of Louisiana,Western District of Louisiana,Western Louisiana,LAWD,USDC
U.S. District Court for the District of Massachusetts,District of Massachusetts,Massachusetts,MAD,USDC
U.S. District Court for the District of Maryland,District of Maryland,Maryland,MDD,USDC
U.S. District Court for the District of Maine,District of Maine,Maine,MED,USDC
U.S. District Court for the Eastern District of Michigan,Eastern District of Michigan,Eastern Michigan,MIED,USDC
